pango,R,seq_volume
BA.5.1.25,3.6918232440948486,4805
BA.5.1.26,19.003332138061523,828
BA.5.1.27,21.72563362121582,2258
BA.5.1.28,16.560691833496094,634
BA.5.1.3,1.7306495904922485,10434
BA.5.1.30,3.8683438301086426,17502
BA.5.1.33,17.68885040283203,1128
BA.5.1.34,30.463781356811523,1399
BA.5.1.35,0.8427993059158325,1725
BA.5.1.4,-1.5338056087493896,1271
BA.5.1.5,11.542289733886719,8496
BA.5.1.6,4.432109832763672,3854
BA.5.1.7,4.988849639892578,2235
BA.5.1.8,-0.29050880670547485,3404
BA.5.1.9,0.6218414902687073,775
BA.5.10.1,8.09131145477295,1546
BA.5.11,31.138534545898438,2817
BA.5.2,6.133763790130615,259735
BA.5.2.1,4.894539833068848,265878
BA.5.2.10,0.11935380101203918,364
BA.5.2.12,3.825791835784912,5162
BA.5.2.13,19.521709442138672,3287
BA.5.2.14,17.87871551513672,634
BA.5.2.16,4.774322509765625,1685
BA.5.2.19,6.8504204750061035,2232
BA.5.2.2,-0.3480360805988312,3672
BA.5.2.20,8.246970176696777,22407
BA.5.2.21,6.348836421966553,10190
BA.5.2.22,6.105340003967285,4528
BA.5.2.23,18.257335662841797,2053
BA.5.2.24,12.345948219299316,1197
BA.5.2.25,17.567604064941406,1101
BA.5.2.26,6.502964496612549,4409
BA.5.2.27,8.375077247619629,3402
BA.5.2.28,5.951148509979248,3631
BA.5.2.29,10.631780624389648,372
BA.5.2.3,5.302215576171875,7962
BA.5.2.30,11.372307777404785,294
BA.5.2.31,8.909598350524902,1483
BA.5.2.32,18.581356048583984,425
BA.5.2.33,9.508037567138672,1565
BA.5.2.34,20.617900848388672,4634
BA.5.2.35,22.260066986083984,3482
BA.5.2.36,18.143360137939453,597
BA.5.2.37,11.189456939697266,301
BA.5.2.4,1.7228820323944092,766
BA.5.2.43,26.620595932006836,1528
BA.5.2.44,8.28246784210205,1053
BA.5.2.47,20.801109313964844,1458
BA.5.2.48,27.718172073364258,2178
BA.5.2.49,19.292316436767578,244
BA.5.2.50,24.551929473876953,203
BA.5.2.52,20.076374053955078,503
BA.5.2.53,13.04076862335205,611
BA.5.2.54,19.37716293334961,221
BA.5.2.55,8.442440032958984,1575
BA.5.2.56,14.872171401977539,480
BA.5.2.57,18.284927368164062,1887
BA.5.2.58,18.329097747802734,852
BA.5.2.59,15.759651184082031,479
BA.5.2.6,20.054872512817383,16571
BA.5.2.60,21.59752082824707,328
BA.5.2.62,12.406852722167969,654
BA.5.2.7,13.295836448669434,2378
BA.5.2.8,6.454309940338135,1401
BA.5.2.9,7.04643440246582,15373
BA.5.3,-14.739046096801758,3549
BA.5.3.1,6.021131992340088,5604
BA.5.3.2,-15.578803062438965,2297
BA.5.3.3,0.736899197101593,2323
BA.5.3.4,-13.179581642150879,846
BA.5.3.5,24.93323516845703,592
BA.5.5,-3.546003580093384,54292
BA.5.5.1,11.10081958770752,3215
BA.5.5.2,1.3806685209274292,1099
BA.5.5.3,2.7205779552459717,627
BA.5.6,0.6013056039810181,37717
BA.5.6.1,4.498387813568115,1514
BA.5.6.2,7.670793533325195,1141
BA.5.6.3,15.067275047302246,219
BA.5.7,6.418925762176514,1125
BA.5.8,-2.831132650375366,5754
BA.5.9,10.602336883544922,7402
BE.1,0.10595005750656128,26137
BE.1.1,0.839950442314148,54443
BE.1.1.1,12.722307205200195,1986
BE.1.1.2,6.160123825073242,5747
BE.1.2,12.502334594726562,1276
BE.1.2.1,20.896747589111328,1951
BE.1.3,-0.8920405507087708,947
BE.1.4,2.0625061988830566,2763
BE.1.4.1,4.77414608001709,374
BE.1.4.2,19.825748443603516,441
BE.10,26.840667724609375,1935
BE.11,0.7404912710189819,1822
BE.12,-4.470278263092041,423
BE.2,-1.0203708410263062,2085
BE.3,-0.9036486744880676,8783
BE.4,3.3067238330841064,2534
BE.4.1,17.554662704467773,665
BE.4.1.1,22.002113342285156,209
BE.4.2,26.186199188232422,443
BE.6,20.5300350189209,312
BE.7,24.581296920776367,568
BE.8,23.498422622680664,298
BE.9,29.489242553710938,3659
BF.1,-5.424476623535156,10638
BF.1.1,-16.726285934448242,403
BF.10,5.246540069580078,21908
BF.11,18.2923526763916,8666
BF.11.1,16.504568099975586,1032
BF.11.2,28.277265548706055,883
BF.11.3,19.299579620361328,603
BF.11.4,19.03342056274414,411
BF.11.5,20.103771209716797,652
BF.12,2.3906824588775635,990
BF.13,12.823487281799316,2467
BF.14,16.299715042114258,6783
BF.15,8.193778991699219,702
BF.16,9.603222846984863,589
BF.17,2.5516860485076904,628
BF.18,2.8177504539489746,1050
BF.2,4.514132976531982,2340
BF.20,-1.8584390878677368,206
BF.21,2.302050828933716,10275
BF.22,3.3329524993896484,1610
BF.23,2.551607608795166,300
BF.24,1.6003903150558472,753
BF.25,13.855772972106934,1184
BF.26,9.117642402648926,9527
BF.27,3.393944501876831,6769
BF.28,2.0756537914276123,10052
BF.29,9.344147682189941,315
BF.3,-0.00636535556986928,567
BF.3.1,2.3718512058258057,1317
BF.31,5.991551399230957,819
BF.31.1,18.628694534301758,615
BF.32,18.53343391418457,638
BF.36,3.1028385162353516,2084
BF.37,16.255413055419922,357
BF.38,6.199981212615967,1584
BF.38.1,16.23201560974121,237
BF.39,6.707021713256836,1856
BF.4,2.8965954780578613,3850
BF.40,7.547023296356201,443
BF.41,2.8620173931121826,662
BF.41.1,20.808002471923828,221
BF.5,8.537576675415039,82804
BF.5.2,19.65157699584961,209
BF.5.4,10.438088417053223,2109
BF.5.5,10.372791290283203,300
BF.6,3.7161660194396973,1645
BF.7,17.88107681274414,45581
BF.7.1,17.619644165039062,605
BF.7.10,20.231496810913086,313
BF.7.12,19.959884643554688,298
BF.7.13.2,21.243253707885742,215
BF.7.14,31.047805786132812,5043
BF.7.14.1,30.37108039855957,583
BF.7.14.4,29.922380447387695,443
BF.7.14.5,31.910600662231445,555
BF.7.14.6,30.908632278442383,262
BF.7.15,30.19207000732422,4018
BF.7.16,15.508383750915527,371
BF.7.18,23.08428955078125,267
BF.7.19,19.341697692871094,918
BF.7.19.1,24.451318740844727,1040
BF.7.2,17.60886001586914,203
BF.7.20,17.36791229248047,2382
BF.7.21,17.628562927246094,1852
BF.7.22,20.302370071411133,1474
BF.7.23,19.90799903869629,1259
BF.7.24,18.1639404296875,1389
BF.7.26,17.203340530395508,898
BF.7.27,16.185447692871094,491
BF.7.3,21.501237869262695,372
BF.7.4,17.782224655151367,5417
BF.7.4.1,23.853775024414062,7287
BF.7.4.2,15.42638874053955,760
BF.7.4.3,26.34733009338379,441
BF.7.5,19.25469970703125,5429
BF.7.5.1,21.4780216217041,376
BF.7.6,17.67554473876953,3227
BF.7.7,19.82227897644043,976
BF.7.8,17.86309814453125,668
BF.8,1.1592024564743042,5203
BF.9,-0.1430092751979828,3674
BG.1,-29.668079376220703,298
BG.2,-24.92681884765625,9504
BG.4,-25.770896911621094,715
BG.5,-21.82929801940918,1860
BH.1,7.654082775115967,294
BK.1,7.253323554992676,1861
BL.1,15.058123588562012,1907
BL.2,14.33390998840332,517
BL.4,7.151442050933838,250
BL.6,22.230329513549805,248
BM.1.1,15.507875442504883,837
BM.1.1.1,13.241242408752441,260
BM.1.1.3,17.832834243774414,2349
BM.4.1.1,16.77623748779297,781
BN.1,28.357067108154297,5397
BN.1.1,27.4804744720459,883
BN.1.1.1,31.494836807250977,759
BN.1.10,32.01165008544922,700
BN.1.11,28.31515121459961,221
BN.1.2,31.811229705810547,8797
BN.1.2.1,32.0538444519043,1196
BN.1.2.2,29.93182945251465,2140
BN.1.2.3,33.44340896606445,1924
BN.1.2.4,30.035343170166016,539
BN.1.2.5,34.92506408691406,1289
BN.1.2.6,35.411258697509766,399
BN.1.3,29.6799259185791,13612
BN.1.3.1,31.213024139404297,4706
BN.1.3.12,32.518009185791016,767
BN.1.3.2,34.66899490356445,696
BN.1.3.3,26.680265426635742,287
BN.1.3.5,30.843950271606445,1939
BN.1.3.6,26.32162857055664,1381
BN.1.3.7,30.0642147064209,912
BN.1.4,29.485166549682617,1880
BN.1.4.2,39.87760543823242,325
BN.1.4.3,31.482620239257812,740
BN.1.4.4,31.97943115234375,1048
BN.1.4.5,27.338579177856445,217
BN.1.5,28.167694091796875,3233
BN.1.7,33.52264404296875,878
BN.1.9,26.144615173339844,873
BN.3.1,31.542795181274414,1465
BN.5,13.426013946533203,321
BN.6,14.828210830688477,297
BQ.1,26.46221923828125,43923
BQ.1.1,30.062658309936523,146832
BQ.1.1.1,29.43416404724121,4457
BQ.1.1.10,34.87662887573242,3039
BQ.1.1.11,29.492094039916992,916
BQ.1.1.13,35.982749938964844,2004
BQ.1.1.15,31.25791358947754,2862
BQ.1.1.17,26.54194450378418,722
BQ.1.1.18,30.41483497619629,9486
BQ.1.1.19,27.766517639160156,618
BQ.1.1.2,35.126548767089844,1812
BQ.1.1.20,34.97101974487305,4486
BQ.1.1.22,34.15797424316406,2202
BQ.1.1.23,34.351722717285156,2580
BQ.1.1.24,32.562625885009766,1194
BQ.1.1.26,34.444095611572266,251
BQ.1.1.27,29.023042678833008,462
BQ.1.1.28,32.25752639770508,1017
BQ.1.1.29,36.66786193847656,697
BQ.1.1.3,29.508384704589844,6093
BQ.1.1.30,33.491737365722656,202
BQ.1.1.31,33.49143981933594,1427
BQ.1.1.32,37.6312255859375,2913
BQ.1.1.35,38.73481750488281,1040
BQ.1.1.36,34.993099212646484,772
BQ.1.1.37,42.762786865234375,437
BQ.1.1.38,37.30888366699219,263
BQ.1.1.39,42.455223083496094,287
BQ.1.1.4,29.331981658935547,9612
BQ.1.1.40,31.249134063720703,1955
BQ.1.1.41,34.066192626953125,1990
BQ.1.1.42,36.9716796875,748
BQ.1.1.43,38.35844039916992,410
BQ.1.1.44,35.00017547607422,610
BQ.1.1.45,46.10831069946289,2385
BQ.1.1.46,39.34626770019531,526
BQ.1.1.47,38.43760299682617,935
BQ.1.1.48,42.874900817871094,240
BQ.1.1.5,29.183759689331055,5242
BQ.1.1.51,31.774255752563477,1523
BQ.1.1.52,31.31004524230957,1245
BQ.1.1.53,36.46477127075195,501
BQ.1.1.54,35.353492736816406,444
BQ.1.1.55,34.28105926513672,378
BQ.1.1.56,31.610803604125977,399
BQ.1.1.57,31.757301330566406,476
BQ.1.1.58,38.49351119995117,462
BQ.1.1.6,29.579580307006836,1589
BQ.1.1.60,29.790977478027344,569
BQ.1.1.63,44.603397369384766,583
BQ.1.1.65,43.0024299621582,598
BQ.1.1.66,36.56171417236328,352
BQ.1.1.67,29.15409278869629,1369
BQ.1.1.68,29.586774826049805,1626
BQ.1.1.69,30.763689041137695,3446
BQ.1.1.7,28.12613868713379,3920
BQ.1.1.70,20.62401580810547,1836
BQ.1.1.72,33.01225662231445,581
BQ.1.1.76,31.448810577392578,828
BQ.1.1.77,39.55278778076172,360
BQ.1.1.78,27.30430793762207,631
BQ.1.1.79,45.451171875,379
BQ.1.1.8,30.784610748291016,239
BQ.1.10,28.704923629760742,6176
BQ.1.10.1,28.903541564941406,1911
BQ.1.10.2,33.10306930541992,326
BQ.1.10.3,30.186086654663086,669
BQ.1.11,26.66112518310547,4980
BQ.1.12,26.68146324157715,6413
BQ.1.13,26.055482864379883,3004
BQ.1.13.1,37.931427001953125,3049
BQ.1.14,25.770395278930664,5642
BQ.1.15,24.95438003540039,1412
BQ.1.16,20.021747589111328,628
BQ.1.18,32.9797248840332,3731
BQ.1.2,28.304338455200195,8996
BQ.1.2.1,30.009403228759766,1412
BQ.1.2.3,24.993791580200195,2798
BQ.1.21,32.214908599853516,566
BQ.1.22,33.99494171142578,895
BQ.1.23,28.72331428527832,5100
BQ.1.24,37.348480224609375,959
BQ.1.25,34.03299331665039,523
BQ.1.25.1,35.22805404663086,3146
BQ.1.26,29.404325485229492,322
BQ.1.26.1,27.925430297851562,361
BQ.1.27,31.037410736083984,201
BQ.1.28,35.776126861572266,903
BQ.1.3.1,27.43680191040039,2201
BQ.1.3.2,26.386228561401367,4944
BQ.1.30,32.058963775634766,324
BQ.1.31,32.886714935302734,368
BQ.1.32,28.57184410095215,1731
BQ.1.4,25.405315399169922,422
BQ.1.5,25.86163330078125,5801
BQ.1.6,22.15034294128418,1045
BQ.1.8,27.141141891479492,5634
BQ.1.8.2,26.936372756958008,836
BQ.1.9,34.11790466308594,229
BR.1,19.802541732788086,692
BR.1.2,25.243913650512695,261
BR.2.1,34.80733108520508,6703
BR.3,22.29579734802246,418
BR.5.1,30.6143741607666,452
BS.1.1,16.77033805847168,438
BT.1,4.573616027832031,415
BT.2,11.312006950378418,645
BU.1,24.600154876708984,1026
BU.3,22.266956329345703,392
BV.1,10.339567184448242,226
BW.1,23.2175350189209,745
BW.1.1,31.336814880371094,1104
BW.1.1.1,31.52376365661621,500
BW.1.1.2,36.460227966308594,267
BY.1,17.375680923461914,1209
CA.1,16.776994705200195,361
CA.3,14.726136207580566,215
CA.3.1,33.794776916503906,392
CA.5,20.255464553833008,215
CA.7,29.80790138244629,700
CB.1,19.3409366607666,354
CC.1,14.623308181762695,244
CE.1,15.492961883544922,354
CG.1,12.945996284484863,589
CH.1.1,40.10123825073242,17584
CH.1.1.1,44.769371032714844,5430
CH.1.1.10,41.8067512512207,785
CH.1.1.11,40.68675994873047,1403
CH.1.1.12,51.439083099365234,621
CH.1.1.13,39.42463684082031,272
CH.1.1.14,45.44169235229492,241
CH.1.1.15,49.220458984375,493
CH.1.1.16,53.786285400390625,348
CH.1.1.18,42.080440521240234,218
CH.1.1.19,40.24506378173828,717
CH.1.1.2,42.834800720214844,2098
CH.1.1.24,40.267154693603516,1134
CH.1.1.25,36.408592224121094,883
CH.1.1.26,28.472139358520508,716
CH.1.1.27,36.975830078125,366
CH.1.1.28,41.25397491455078,438
CH.1.1.3,39.03657531738281,711
CH.1.1.5,41.24397659301758,587
CH.1.1.6,45.21727752685547,479
CH.1.1.7,37.89546585083008,1256
CH.1.1.8,43.662593841552734,317
CH.1.1.9,39.333011627197266,293
CJ.1.2,31.239961624145508,720
CJ.1.3,40.820762634277344,1233
CK.1,28.813793182373047,1555
CK.1.1,43.06540298461914,361
CK.1.3,38.11907958984375,275
CK.1.4,35.6151237487793,777
CK.1.5,31.120460510253906,461
CK.2.1,27.18252944946289,565
CK.2.1.1,24.692703247070312,1886
CK.3,27.111892700195312,601
CL.1,28.298391342163086,2543
CL.1.1,27.17243003845215,565
CL.1.2,28.794923782348633,326
CL.1.3,30.37745475769043,254
CM.10,42.745174407958984,252
CM.12,32.447120666503906,497
CM.2,20.02935791015625,1101
CM.3,23.38425064086914,201
CM.4,19.76361083984375,459
CM.5,19.163339614868164,270
CM.8.1,35.620941162109375,1016
CN.1,20.60896110534668,773
CN.2,20.973730087280273,518
CP.1,19.687898635864258,888
CP.7,28.72675323486328,306
CP.8,21.51557159423828,591
CQ.1.1,24.02124786376953,513
CQ.2,26.71690559387207,1527
CR.1,26.8023738861084,659
CR.1.1,26.29456901550293,850
CV.1,28.059328079223633,564
CY.2,18.79861831665039,294
CZ.2,30.245044708251953,468
DB.1,32.90176773071289,578
DC.1,17.792091369628906,232
DE.1,1.0315592288970947,445
DF.1,23.717830657958984,979
DF.1.1,31.952558517456055,628
DG.1,27.10297203063965,270
DJ.1.1.1,26.879329681396484,927
DL.1,23.921396255493164,1995
DN.1,37.75270080566406,509
DN.1.1,36.82990646362305,562
DN.2,28.189807891845703,2315
DP.1,29.023609161376953,2203
DQ.1,26.271156311035156,438
DR.1,35.6154670715332,358
DR.2,32.878997802734375,417
DS.2,37.78787612915039,508
DS.3,33.357391357421875,740
DT.2,42.0997314453125,1069
DU.1,41.41082000732422,1520
DV.1.1,54.247379302978516,1209
DV.3,40.00818634033203,437
DV.5,56.761783599853516,214
DV.6,45.68586349487305,3586
DV.6.2,66.86764526367188,320
DV.7,62.18581008911133,233
DV.7.1,87.9111557006836,449
DV.8,58.038578033447266,309
DY.1,28.453807830810547,1823
DY.2,30.025346755981445,4517
DY.3,27.361167907714844,1791
DY.4,28.846485137939453,3111
DZ.1,23.16872215270996,565
DZ.2,23.776254653930664,213
EA.1,44.77787780761719,397
EB.1,23.512535095214844,241
EC.1,35.883460998535156,212
ED.1,24.508304595947266,3453
ED.2,31.33466339111328,915
EE.1,30.31289291381836,875
EE.2,30.5498046875,897
EE.3,30.31388282775879,665
EE.4,36.108970642089844,201
EE.5,31.533058166503906,463
EF.1,37.57184982299805,2505
EF.1.1,35.71665573120117,2217
EF.1.1.1,43.16108322143555,288
EF.1.2,36.1244010925293,517
EF.1.3,35.605106353759766,268
EF.2,37.016666412353516,664
EG.1,64.30497741699219,7101
EG.1.2,59.64105224609375,1180
EG.1.3,62.19940185546875,1158
EG.1.4,61.97351837158203,1070
EG.1.5,68.71685791015625,235
EG.1.6,64.25080108642578,1957
EG.2,71.60106658935547,2234
EG.4,60.797821044921875,1243
EG.5.1,81.98747253417969,5661
EG.5.1.1,85.40681457519531,9426
EG.5.1.2,75.58165740966797,271
EG.5.1.3,89.26842498779297,2241
EG.5.1.4,84.67694854736328,994
EG.5.1.6,89.60372924804688,428
EG.5.2,69.99752044677734,822
EG.5.2.1,76.96932983398438,201
EG.6.1,77.2528305053711,1429
EJ.2,31.086082458496094,1075
EJ.3,33.160919189453125,241
EK.2,53.85674285888672,392
EK.3,53.425804138183594,231
EL.1,55.455833435058594,1186
EM.1,51.136573791503906,362
EN.1,46.41801452636719,606
EQ.1,21.777725219726562,266
ES.1,44.386451721191406,273
ET.1,43.28584289550781,238
EU.1.1,63.382694244384766,1768
EU.1.1.1,63.42342758178711,580
EW.1,38.667789459228516,282
EW.2,36.94977951049805,238
EY.1,51.64559555053711,359
EZ.1,50.623497009277344,305
FD.1.1,65.27570343017578,1761
FD.2,54.5378532409668,2584
FD.3,56.3841667175293,223
FD.4,55.91471481323242,935
FD.4.1,52.16044998168945,320
FE.1,66.1781234741211,324
FE.1.1,69.76411437988281,1134
FE.1.1.1,67.42193603515625,266
FE.1.2,68.53588104248047,1353
FG.2,55.4509162902832,297
FG.3,56.759849548339844,209
FH.1,57.43706512451172,326
FK.1,58.070674896240234,324
FK.1.1,67.34054565429688,1350
FK.1.1.2,67.48532104492188,781
FK.1.2.1,60.041046142578125,244
FK.1.3.2,71.80496215820312,450
FK.1.5,66.86090087890625,279
FL.1,63.15370178222656,606
FL.1.2,62.742515563964844,245
FL.1.3,65.26923370361328,540
FL.1.5,73.9144287109375,372
FL.1.5.1,88.5818862915039,1931
FL.10,60.41587448120117,1336
FL.10.1,78.57524871826172,956
FL.11,62.732879638671875,355
FL.12,59.47038269042969,981
FL.13,59.68141555786133,1234
FL.13.1,60.81283950805664,220
FL.13.3.1,62.48330307006836,257
FL.14,68.04779815673828,661
FL.15,74.19902038574219,995
FL.16,70.72956085205078,474
FL.17,55.381900787353516,283
FL.18,64.39865112304688,986
FL.19,63.23509216308594,512
FL.2,61.95842361450195,3599
FL.2.1,61.35858154296875,638
FL.2.3,70.16429901123047,1838
FL.2.4,67.29122161865234,441
FL.20,84.37879180908203,294
FL.22,64.2257080078125,412
FL.24,74.84368896484375,271
FL.25,70.3337173461914,270
FL.26,60.04393768310547,214
FL.27,58.363243103027344,720
FL.29,64.11119079589844,238
FL.3,59.44435119628906,2043
FL.3.1,60.93836212158203,1143
FL.3.2,60.40692901611328,785
FL.3.3,58.0696907043457,312
FL.4,63.38642883300781,6993
FL.4.2,67.47218322753906,246
FL.4.5,63.69900131225586,824
FL.4.6,64.79743194580078,684
FL.5,60.6865234375,2794
FL.7,65.66505432128906,405
FL.8,59.21235275268555,1037
FL.9,61.71475601196289,259
FM.1,47.24063491821289,214
FM.2,49.508155822753906,246
FP.1,58.31254959106445,392
FP.4,60.22521209716797,280
FR.1,51.41989517211914,642
FR.1.1,67.63331604003906,415
FR.2,38.22971725463867,670
FS.1,58.66779327392578,292
FT.1,49.56835174560547,385
FU.1,70.65682220458984,4655
FU.2,71.83004760742188,911
FU.2.1,76.89981842041016,550
FU.3,64.0045394897461,251
FV.1,63.39672088623047,204
FY.1.2,73.2798843383789,279
FY.2,72.6600112915039,562
FY.2.1,72.77458953857422,360
FY.3,76.83332061767578,1610
FY.3.1,76.93447875976562,1487
FY.4.1,73.45328521728516,269
FY.5,76.28836059570312,492
FY.6,65.50591278076172,258
GA.2,57.46036148071289,227
GB.1,65.47502136230469,691
GD.1,67.78803253173828,230
GE.1,78.97510528564453,1145
GF.1,67.89117431640625,1158
GH.1,56.10881805419922,280
GJ.1.1,72.5582046508789,340
GJ.1.2,77.42451477050781,2237
GJ.3,69.13243103027344,301
GK.1,78.3134765625,422
GK.1.1,91.06190490722656,461
GK.2,85.65243530273438,522
GN.1,75.81167602539062,280
GP.2,44.84070587158203,710
GP.3,43.09841537475586,358
GR.1,64.31278991699219,871
GS.1,72.60517883300781,297
GU.1,60.78836441040039,287
GV.1,67.26712799072266,256
GW.1,67.5079116821289,284
GY.1,74.55504608154297,274
GY.5,70.38956451416016,794
GY.6,69.38621520996094,333
HE.1,67.40481567382812,201
HF.1,79.50350952148438,1337
HH.1,69.63383483886719,1813
HH.2,72.39872741699219,349
HK.3,110.46636962890625,558
HT.1,61.500667572021484,282
HT.2,60.721839904785156,482
HV.1,99.73927307128906,334
HW.1,72.29762268066406,461
HZ.1,72.95530700683594,269
HZ.2,67.74144744873047,259
HZ.3,60.955326080322266,201
XAB,-39.48884963989258,224
XAC,-35.78028869628906,429
XAF,-33.79603576660156,302
XAM,-30.31275177001953,516
XAN,-0.37489965558052063,210
